Date,Price,Open,High,Low,Vol.,Change %
2024-07-26,81332.72,80158.5,81427.18,80013.6,0,+1.62%
2024-07-25,80039.8,79542.11,80143.1,79477.83,0,-0.14%
2024-07-24,80148.88,80343.38,80519.58,79750.51,0,-0.35%
2024-07-23,80429.04,80724.3,80766.41,79224.32,0,-0.09%
2024-07-22,80502.08,80408.9,80800.92,80100.65,0,-0.13%
2024-07-19,80604.65,81585.06,81587.76,80499.1,0,-0.91%
2024-07-18,81343.46,80514.25,81522.55,80390.37,0,+0.78%
2024-07-16,80716.55,80731.49,80898.3,80598.06,0,+0.06%
2024-07-15,80664.86,80686.54,80862.54,80556.97,0,+0.18%
2024-07-12,80519.34,80093.62,80893.51,79843.39,0,+0.78%
2024-07-11,79897.34,80170.09,80170.09,79464.38,0,-0.03%
2024-07-10,79924.77,80481.36,80481.36,79435.76,0,-0.53%
2024-07-09,80351.64,80107.21,80397.17,79998.56,0,+0.49%
2024-07-08,79960.38,79915.0,80067.46,79731.83,0,-0.05%
2024-07-05,79996.6,79778.98,80149.87,79478.96,0,-0.07%
2024-07-04,80049.67,80321.79,80392.64,79986.41,0,+0.08%
2024-07-03,79986.8,80013.77,80074.3,79754.95,0,+0.69%
2024-07-02,79441.45,79840.37,79855.87,79231.11,0,-0.04%
2024-07-01,79476.19,79043.35,79561.0,78971.79,0,+0.56%
2024-06-28,79032.73,79457.58,79671.58,78905.89,0,-0.27%
2024-06-27,79243.18,78758.67,79396.03,78467.34,0,+0.72%
2024-06-26,78674.25,78094.02,78759.4,77945.94,0,+0.80%
